csv,mp4,new_csv,new_mp4,vfa,vfa_changed_name
08-08-23-A-N-4-AMPH-0.3mpk-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-08-23-A-N-4-AMPH-0.3mpk-20p.mp4,mice42_dlc.csv,mice42.mp4,mice42.csv,08-08-2023-A-N-4-AMPH-0.3mpk-20p.csv
08-08-23-A-R-1-AMPH-0.6mpk-80pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-08-23-A-R-1-AMPH-0.6mpk-80p.mp4,mice43_dlc.csv,mice43.mp4,mice43.csv,08-08-2023-A-R-1-AMPH-0.6mpk-80p.csv
08-08-23-B-RL-6-AMPH-1mpk-50pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-08-23-B-RL-6-AMPH-1mpk-50p.mp4,mice44_dlc.csv,mice44.mp4,mice44.csv,08-08-2023-B-RL-6-AMPH-1mpk-50p.csv
08-08-23-X-R-8-80p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,08-08-23-X-R-8-80p-TOT-1st.mp4,mice45_dlc.csv,mice45.mp4,mice45.csv,08-08-2023-X-R-8-80p-TOT-1st.csv
08-10-23-A-L-2-AMPH-0.3mpk-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-10-23-A-L-2-AMPH-0.3mpk-20p.mp4,mice46_dlc.csv,mice46.mp4,mice46.csv,08-10-2023-A-L-2-AMPH-0.3mpk-20p.csv
08-10-23-A-N-4-AMPH-vehicle-20pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-10-23-A-N-4-AMPH-vehicle-20p.mp4,mice47_dlc.csv,mice47.mp4,mice47.csv,08-10-2023-A-N-4-AMPH-vehicle-20p.csv
08-10-23-A-R-1-AMPH-1mpk-80pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-10-23-A-R-1-AMPH-1mpk-80p.mp4,mice48_dlc.csv,mice48.mp4,mice48.csv,08-10-2023-A-R-1-AMPH-1mpk-80p.csv
08-10-23-B-RL-6-AMPH-0.3mpk-50pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-10-23-B-RL-6-AMPH-0.3mpk-50p.mp4,mice49_dlc.csv,mice49.mp4,mice49.csv,08-10-2023-B-RL-6-AMPH-0.3mpk-50p.csv
08-10-23-X-R-8-80p-TOT-2ndDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,08-10-23-X-R-8-80p-TOT-2nd.mp4,mice50_dlc.csv,mice50.mp4,mice50.csv,08-10-2023-X-R-8-80p-TOT-2nd.csv
08-15-23-B-RL-6-AMPH-vehicle-50pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-15-23-B-RL-6-AMPH-vehicle-50p.mp4,mice51_dlc.csv,mice51.mp4,mice51.csv,08-15-2023-B-RL-6-AMPH-vehicle-50p.csv
08-17-23-B-RL-6-AMPH-0.6mpk-50pDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,08-17-23-B-RL-6-AMPH-0.6mpk-50p.mp4,mice52_dlc.csv,mice52.mp4,mice52.csv,08-17-2023-B-RL-6-AMPH-0.6mpk-50p.csv
